"sourceId","assetId","path","scope","mediaType","mimeType","extension","bytes","sha256","width","height","aspectRatio","orientation","hasAlpha","animated","frameCount","colorSpace","entityType","entityId","assetRole","sourceType","rightsStatus","cacheAllowed","derivativesAllowed","authenticity","manifestStatus","protected","referenced","referenceCount","referenceLocations","focalPoint","safeArea","brandIconSource","additionalProfiles","variantPolicyId","processingEligibility","processingBlockReason","duplicateGroup","decodeError","notes"
"source-1af22e79ed23d0559ca5","unregistered.1af22e79ed23d0559ca5","assets/design/ai-trip-flow.svg","design-source","svg","image/svg+xml","svg","4511","2109cec04acf72530868ab91d8e3ae586ef89f2a96a4e779aae2f56cef729e79","1400","900","1.555556","","true","false","","","","","","","unknown","","","unreviewed","legacy_review_required","false","true","4","[{""sourceFile"":""assets/design/README.md"",""line"":52,""referenceType"":""markdown""},{""sourceFile"":""docs/decisions/project-design-master.md"",""line"":360,""referenceType"":""markdown""},{""sourceFile"":""docs/decisions/project-design-master.md"",""line"":492,""referenceType"":""markdown""},{""sourceFile"":""docs/README.md"",""line"":61,""referenceType"":""markdown""}]","null","null","false","","","false","unmanifested-review-required","","","Inventory is not rights approval. Unknown dimensions remain null; no originals are changed."
"source-35b2240bf1973df758cb","unregistered.35b2240bf1973df758cb","assets/design/asset-library/previews/review-desktop.png","preview-only","raster","image/png","png","238476","3b0847d48fc32b5ba7722b99645b8e72dfa5795e4f261edc0a72c7cefd550a6e","1440","2944","0.48913","","false","false","1","srgb","","","","","unknown","","","unreviewed","unknown-review-required","false","false","0","[]","null","null","false","","","false","unmanifested-review-required","","","Inventory is not rights approval. Unknown dimensions remain null; no originals are changed."
"source-b00cb4352e35ca7a4753","unregistered.b00cb4352e35ca7a4753","assets/design/asset-library/previews/review-destinations.png","preview-only","raster","image/png","png","27648","23f4b8b6d51382a1e01915bd8136fa7e90549e99188fce760b188aeb837e210b","1360","416","3.269231","","false","false","1","srgb","","","","","unknown","","","unreviewed","unknown-review-required","false","false","0","[]","null","null","false","","","false","unmanifested-review-required","","","Inventory is not rights approval. Unknown dimensions remain null; no originals are changed."
"source-9f228dfc08b0c5251466","unregistered.9f228dfc08b0c5251466","assets/design/asset-library/previews/review-markers.png","preview-only","raster","image/png","png","32037","e8630f8e820ec8b932cfc2db3bb43be60df2fab94fadeb3e693170b83e07eb2e","1360","332","4.096386","","false","false","1","srgb","","","","","unknown","","","unreviewed","unknown-review-required","false","false","0","[]","null","null","false","","","false","unmanifested-review-required","","","Inventory is not rights approval. Unknown dimensions remain null; no originals are changed."
"source-a2f864a5fdc88d44b26b","unregistered.a2f864a5fdc88d44b26b","assets/design/asset-library/previews/review-mobile.png","preview-only","raster","image/png","png","263158","19e6fe03daeef0400a9698977644afc3f1dc795401407ad7feae6678c12e7614","390","4810","0.081081","","false","false","1","srgb","","","","","unknown","","","unreviewed","unknown-review-required","false","false","0","[]","null","null","false","","","false","unmanifested-review-required","","","Inventory is not rights approval. Unknown dimensions remain null; no originals are changed."
"source-5b8333c8743e5f5f0c4f","unregistered.5b8333c8743e5f5f0c4f","assets/design/home-concept.svg","design-source","svg","image/svg+xml","svg","3312","dab3c2b9045665e724050c9154dc345d4f3f9ef0b9afce58726fa0070bedd571","1600","900","1.777778","","true","false","","","","","","","unknown","","","unreviewed","legacy_review_required","false","true","6","[{""sourceFile"":""assets/design/README.md"",""line"":9,""referenceType"":""markdown""},{""sourceFile"":""docs/decisions/project-design-master.md"",""line"":120,""referenceType"":""markdown""},{""sourceFile"":""docs/decisions/project-design-master.md"",""line"":489,""referenceType"":""markdown""},{""sourceFile"":""docs/README.md"",""line"":58,""referenceType"":""markdown""},{""sourceFile"":""docs/ui/design-system.md"",""line"":227,""referenceType"":""markdown""},{""sourceFile"":""docs/ui/home-page.md"",""line"":630,""referenceType"":""markdown""}]","null","null","false","","","false","unmanifested-review-required","","","Inventory is not rights approval. Unknown dimensions remain null; no originals are changed."
"source-879a8205a8283e30dd5a","unregistered.879a8205a8283e30dd5a","assets/design/personal-center/generated-20260905/avatar-yuki.png","design-source","raster","image/png","png","1864341","6fb02192d4bcda7395ba9d06ef52b7411c129683bb5393543d8076db273d77fe","1254","1254","1","","false","false","1","srgb","","","","","unknown","","","illustrative","legacy_review_required","true","true","1","[{""sourceFile"":""docs/assets/personal-center-generated-images-20260905.manifest.json"",""line"":127,""referenceType"":""literal""}]","null","null","false","","","false","unmanifested-review-required","","","Inventory is not rights approval. Unknown dimensions remain null; no originals are changed."
"source-dbef764f9497dcb08270","unregistered.dbef764f9497dcb08270","assets/design/personal-center/generated-20260905/hero-kyoto-sakura.png","design-source","raster","image/png","png","2389762","2e2da8a52a0e82261bbfe2ba8b6c122b582519e353a508d1570830f2a73cdf2f","1942","809","2.400494","","false","false","1","srgb","","","","","unknown","","","illustrative","legacy_review_required","true","true","1","[{""sourceFile"":""docs/assets/personal-center-generated-images-20260905.manifest.json"",""line"":15,""referenceType"":""literal""}]","null","null","false","","","false","unmanifested-review-required","","","Inventory is not rights approval. Unknown dimensions remain null; no originals are changed."
"source-47e1e31743155110eb93","unregistered.47e1e31743155110eb93","assets/design/personal-center/generated-20260905/travelassist-logo-torii.png","design-source","raster","image/png","png","323826","2d77515ed32540048641fee1e12fe7149a5f0619cfd6ca6d11886e592679749a","2172","724","3","","true","false","1","srgb","","","","","unknown","","","illustrative","legacy_review_required","true","true","1","[{""sourceFile"":""docs/assets/personal-center-generated-images-20260905.manifest.json"",""line"":155,""referenceType"":""literal""}]","null","null","false","","","false","unmanifested-review-required","2d77515ed32540048641fee1e12fe7149a5f0619cfd6ca6d11886e592679749a","","Inventory is not rights approval. Unknown dimensions remain null; no originals are changed."
"source-74c15a52f24b6911ebfd","unregistered.74c15a52f24b6911ebfd","assets/design/personal-center/generated-20260905/trip-hokkaido-winter.png","design-source","raster","image/png","png","2526857","257cc780f9e0ba67c94581faeb850e8a816cd185c5afc0f056b8fb823f6fb7f0","1619","971","1.667353","","false","false","1","srgb","","","","","unknown","","","illustrative","legacy_review_required","true","true","1","[{""sourceFile"":""docs/assets/personal-center-generated-images-20260905.manifest.json"",""line"":99,""referenceType"":""literal""}]","null","null","false","","","false","unmanifested-review-required","","","Inventory is not rights approval. Unknown dimensions remain null; no originals are changed."
